🔹央视频道🔹,#genre#
CCTV-1 综合,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8
CCTV-1 综合,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226737/1.m3u8
CCTV-2 财经,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226739/1.m3u8
CCTV-2 财经,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226739/1.m3u8
CCTV-3 综艺,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226720/1.m3u8
CCTV-3 综艺,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226720/1.m3u8
CCTV-4 中文国际,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226725/1.m3u8
CCTV-4 中文国际,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226725/1.m3u8
CCTV-5 体育,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226731/1.m3u8
CCTV-5 体育,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226648/1.m3u8
CCTV-5 体育,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226731/1.m3u8
CCTV-5 体育,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226648/1.m3u8
CCTV-5+ 体育赛事,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226711/1.m3u8
CCTV-5+ 体育赛事,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226711/1.m3u8
CCTV-6 电影,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226699/1.m3u8
CCTV-6 电影,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226699/1.m3u8
CCTV-7 国防军事,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226721/1.m3u8
CCTV-7 国防军事,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226721/1.m3u8
CCTV-8 电视剧,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226715/1.m3u8
CCTV-8 电视剧,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226715/1.m3u8
CCTV-9 纪录,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226657/1.m3u8
CCTV-9 纪录,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226651/1.m3u8
CCTV-9 纪录,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226651/1.m3u8
CCTV-10 科教,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226708/1.m3u8
CCTV-10 科教,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226708/1.m3u8
CCTV-11 戏曲,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226714/1.m3u8
CCTV-11 戏曲,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226714/1.m3u8
CCTV-12 社会与法制,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226748/1.m3u8
CCTV-12 社会与法制,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226723/1.m3u8
CCTV-12 社会与法制,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226723/1.m3u8
CCTV-13 新闻,http://rrs03.hw.gmcc.net:8088/PLTV/81/224/3221226717/1.m3u8
